id,distributor,name,discipline,long_description,price,currency,organization,key_words,modules,modules_number,modules_type,avg_length,description,schema,education_type,age,terms,test,amount_restrictions,level_counts,teachers_present,tutors_present,facilitators_present,feedback,co_ed,practice,forums,individualization,disabled,webinars,analytics,deadlines,post_entrance,training_materials,browsers,technologies,requsites,payment,os_list,tools,peripherals,authors,author_degree,author_awards,author_position,valued_work,certification,language,org_link,start_date,end_date,length,sync,assessmet,lms,course_id,prerequesetes,image,video,interests,skills,ways,code
63,openedu,"Трехмерное моделирование",,,"Бесплатно",null,ITMOUniversity,auto,auto,null,null,null,None,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,null,,,,"Не указан автор",,,,,0,"Не указан язык обучения",https://openedu.ru/course/ITMOUniversity/3DMOD,2018-07-01T09:00:00Z,2030-01-01T00:00:00Z,null,"асинхронные",,auto,course-v1:ITMOUniversity+3DMOD+Demo_2018,auto,https://courses.openedu.ru/asset-v1:ITMOUniversity+3DMOD+Demo_2018+type@asset+block@images_course_image.jpg,None,auto,auto,auto,0
64,openedu,"Трехмерное моделирование",,,"Бесплатно",null,ITMOUniversity,auto,auto,null,null,null,None,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,null,,,,"Не указан автор",,,,,0,"Не указан язык обучения",https://openedu.ru/course/ITMOUniversity/3DMOD,2018-09-24T06:00:00Z,2030-01-01T00:00:00Z,null,"асинхронные",,auto,course-v1:ITMOUniversity+3DMOD+fall_2018,auto,https://courses.openedu.ru/asset-v1:ITMOUniversity+3DMOD+fall_2018+type@asset+block@images_course_image.jpg,None,auto,auto,auto,1
65,openedu,"Трехмерное моделирование",,,"Бесплатно",null,ITMOUniversity,auto,auto,null,null,null,None,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,null,,,,"Не указан автор",,,,,0,"Не указан язык обучения",https://openedu.ru/course/ITMOUniversity/3DMOD,2019-09-09T09:00:00Z,2030-01-01T00:00:00Z,null,"асинхронные",,auto,course-v1:ITMOUniversity+3DMOD+fall_2019,auto,https://courses.openedu.ru/asset-v1:ITMOUniversity+3DMOD+fall_2019+type@asset+block@images_course_image.jpg,None,auto,auto,auto,2
66,openedu,"Трехмерное моделирование",,,"Бесплатно",null,ITMOUniversity,auto,auto,null,null,null,None,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,null,,,,"Не указан автор",,,,,0,"Не указан язык обучения",https://openedu.ru/course/ITMOUniversity/3DMOD,2018-03-12T09:00:00Z,2030-01-01T00:00:00Z,null,"асинхронные",,auto,course-v1:ITMOUniversity+3DMOD+spring_2018,auto,https://courses.openedu.ru/asset-v1:ITMOUniversity+3DMOD+spring_2018+type@asset+block@images_course_image.jpg,None,auto,auto,auto,3
67,openedu,"Трехмерное моделирование",,,"Бесплатно",null,ITMOUniversity,auto,auto,null,null,null,None,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,null,,,,"Не указан автор",,,,,0,"Не указан язык обучения",https://openedu.ru/course/ITMOUniversity/3DMOD,2019-02-11T09:00:00Z,2030-01-01T00:00:00Z,null,"асинхронные",,auto,course-v1:ITMOUniversity+3DMOD+spring_2019,auto,https://courses.openedu.ru/asset-v1:ITMOUniversity+3DMOD+spring_2019+type@asset+block@images_course_image.jpg,None,auto,auto,auto,4
68,openedu,"Трехмерное моделирование",,,"Бесплатно",null,ITMOUniversity,auto,auto,null,null,null,None,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,null,,,,"Не указан автор",,,,,0,"Не указан язык обучения",https://openedu.ru/course/ITMOUniversity/3DMOD,2019-02-26T06:00:00Z,2030-01-01T00:00:00Z,null,"асинхронные",,auto,course-v1:ITMOUniversity+3DMOD+spring_2019_dvfu,auto,https://courses.openedu.ru/asset-v1:ITMOUniversity+3DMOD+spring_2019_dvfu+type@asset+block@images_course_image.jpg,None,auto,auto,auto,5
69,openedu,"Трехмерная визуализация",,,"Бесплатно",null,ITMOUniversity,auto,auto,null,null,null,None,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,null,,,,"Не указан автор",,,,,0,"Не указан язык обучения",https://openedu.ru/course/ITMOUniversity/3DVIS,2019-09-16T09:00:00Z,2030-01-01T00:00:00Z,null,"асинхронные",,auto,course-v1:ITMOUniversity+3DVIS+fall_2019,auto,https://courses.openedu.ru/asset-v1:ITMOUniversity+3DVIS+fall_2019+type@asset+block@images_course_image.jpg,None,auto,auto,auto,6
70,openedu,"Трехмерная визуализация",,,"Бесплатно",null,ITMOUniversity,auto,auto,null,null,null,None,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,null,,,,"Не указан автор",,,,,0,"Не указан язык обучения",https://openedu.ru/course/ITMOUniversity/3DVIS,2019-03-25T09:00:00Z,2030-01-01T00:00:00Z,null,"асинхронные",,auto,course-v1:ITMOUniversity+3DVIS+spring_2019,auto,https://courses.openedu.ru/asset-v1:ITMOUniversity+3DVIS+spring_2019+type@asset+block@images_course_image.jpg,None,auto,auto,auto,7
71,openedu,"Введение в инженерию больших данных",,,"Бесплатно",null,misis,auto,auto,null,null,null,"",,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,null,,,,"Не указан автор",,,,,0,"Не указан язык обучения",https://openedu.ru/course/misis/ABD,2019-02-17T21:00:00Z,2030-01-01T00:00:00Z,null,"асинхронные",,auto,course-v1:misis+ABD+demo,auto,https://courses.openedu.ru/asset-v1:misis+ABD+demo+type@asset+block@images_course_image.jpg,None,auto,auto,auto,8
72,openedu,"Введение в Большие Данные",,,"Бесплатно",null,misis,auto,auto,null,null,null,"",,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,null,,,,"Не указан автор",,,,,0,"Не указан язык обучения",https://openedu.ru/course/misis/ABD,2030-01-01T00:00:00Z,2030-01-01T00:00:00Z,null,"асинхронные",,auto,course-v1:misis+ABD+fall_2018,auto,https://courses.openedu.ru/asset-v1:misis+ABD+fall_2018+type@asset+block@images_course_image.jpg,None,auto,auto,auto,9
